"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Craig Kimbrel","BAL","RP","65.5","82","4","25","3.83","1.22","28","52","28","8","66","0","4","0","280"
"Lucas Giolito","BOS","SP","65.5","68","4","0","4.62","1.34","34","63","25","11","12","11","4","0","133"
"Justin Lawrence","COL","RP","65.3","67","3","16","4.51","1.47","33","63","33","7","66","0","4","0","197"
"Emilio Pagan","CIN","RP","65.3","69","3","2","4.47","1.27","32","59","23","12","65","0","4","0","118"
"Johnny Cueto","","SP","65.3","45","3","0","4.94","1.38","36","73","18","12","12","12","4","0","101"
"James McArthur","KC","RP","65.2","62","3","13","4.13","1.31","30","62","23","7","63","0","3","0","182"
"Clay Holmes","NYY","RP","65.1","69","4","31","3.43","1.24","25","56","25","5","64","0","3","0","309"
"Gregory Soto","PHI","RP","65.1","75","3","3","3.93","1.31","28","55","30","7","66","0","4","0","133"
"Bryse Wilson","MIL","RP","65.1","51","3","0","4.49","1.32","32","67","18","10","53","1","3","0","94"
"Bryan Abreu","HOU","RP","64.9","89","3","2","3.23","1.20","23","48","30","6","62","0","2","0","151"
"Lucas Erceg","OAK","RP","64.9","74","3","5","4.01","1.42","29","55","37","6","63","0","4","0","141"
"Yariel Rodriguez","TOR","","64.9","64","3","0","4.45","1.40","32","60","30","9","40","5","3","0","112"
"Jhoan Duran","MIN","RP","64.8","86","4","30","2.84","1.12","20","50","23","5","64","0","3","0","325"
"Joel Payamps","MIL","RP","64.8","64","3","2","3.87","1.24","28","60","20","8","61","0","4","0","117"
"Carlos Estevez","LAA","RP","64.7","71","3","22","4.23","1.32","30","58","27","9","64","0","4","0","241"
"Jeff Hoffman","PHI","RP","64.7","76","3","3","4.06","1.27","29","54","28","9","62","0","3","0","136"
"Alex Lange","DET","RP","64.6","77","3","21","3.98","1.37","29","53","35","6","64","0","4","0","240"
"Ryan Pressly","HOU","RP","64.6","73","4","4","3.44","1.14","25","56","18","7","64","0","3","0","152"
"Lance McCullers Jr.","HOU","SP","64.6","65","4","0","3.89","1.32","28","57","28","7","21","10","3","0","137"
"Ronel Blanco","HOU","SP,RP","64.6","67","4","0","4.48","1.39","32","60","30","10","53","2","3","0","119"
"David Bednar","PIT","RP","64.4","76","3","31","3.36","1.16","24","54","21","7","63","0","3","0","310"
"Evan Phillips","LAD","RP","64.4","73","4","29","3.42","1.14","25","54","20","8","61","0","3","0","301"
"Julian Merryweather","CHC","RP","64.4","80","3","2","3.84","1.27","27","55","27","8","62","0","3","0","136"
"Andrew Nardi","MIA","RP","64.2","77","4","3","3.78","1.28","27","55","27","8","63","0","4","0","143"
"Jose Suarez","LAA","SP","64.1","59","3","0","4.61","1.39","33","63","26","10","35","6","4","0","103"
"Joe Jimenez","ATL","RP","64.0","80","3","2","3.86","1.19","27","55","21","9","65","0","2","0","141"
"Matthew Liberatore","STL","SP,RP","64.0","56","4","0","4.31","1.37","31","63","25","8","36","7","4","0","110"
"Adbert Alzolay","CHC","RP","63.9","69","3","28","3.67","1.16","26","57","18","8","56","0","3","0","283"
"Enyel De Los Santos","SD","RP","63.9","65","3","1","4.05","1.27","29","57","25","8","64","0","3","0","112"
"Ryan Yarbrough","LAD","SP,RP","63.9","51","4","0","4.48","1.26","32","67","14","10","35","4","3","0","105"
"Kevin Ginkel","ARI","RP","63.8","70","4","6","3.61","1.24","26","54","25","6","64","0","3","0","158"
"Brock Burke","TEX","RP","63.8","63","3","0","3.92","1.23","28","59","19","9","60","0","3","0","107"
"Raisel Iglesias","ATL","RP","63.6","76","4","31","3.38","1.12","24","55","16","8","62","0","3","0","317"
"Jose Leclerc","TEX","RP","63.5","73","2","20","4.00","1.30","28","52","30","9","63","0","3","0","227"
"Erik Swanson","TOR","RP","63.5","72","3","3","3.71","1.17","26","55","20","9","63","0","3","0","135"
"Jose Soriano","LAA","RP","63.5","74","3","0","4.00","1.38","28","54","34","7","57","1","3","0","114"
