NAME	POS	ML	A/H	TEAM	OPP	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	OVER	UNDER
Dalton Bolon	G	'+190	A	COFC	SDSU	pts	9.5	12.3	12.13 - 14.0	13.38 - 11.62	74%	80%	0,12,12,10,12,12,14,8,3,18	-120	-110
Dalton Bolon	G	'+190	A	COFC	SDSU	reb	3.5	4.2	4.19 - 4.0	4.69 - 3.86	56%	20%	1,2,8,2,1,3,2,5,6,5	'+110	-145
Dalton Bolon	G	'+190	A	COFC	SDSU	3ptm	1.5	1.8	1.84 - 1.33	1.85 - 1.76	53%	60%	0,2,2,2,0,4,3,1,1,4	-135	'+105
Darrion Trammell	G	-225	H	SDSU	COFC	3ptm	0.5	1.2	1.38 - 0.67	1.18 - 1.29	69%	60%	0,2,0,1,1,4,1,0,0,1	-215	'+160
Darrion Trammell	G	-225	H	SDSU	COFC	ast	2.5	3.3	3.58 - 2.33	3.27 - 3.38	59%	0%	1,1,2,2,2,3,5,2,6,1	-120	-110
Darrion Trammell	G	-225	H	SDSU	COFC	pts	8.5	9.5	9.31 - 10.33	10.82 - 8.81	44%	20%	4,15,0,3,7,18,11,4,0,5	-105	-125
Darrion Trammell	G	-225	H	SDSU	COFC	reb	2.5	2.2	2.35 - 1.33	1.91 - 2.29	31%	20%	1,2,5,2,0,2,2,1,1,1	'+145	-195
David Singleton	G	-2100	H	UCLA	UNCA	3ptm	1.5	2.0	1.97 - 2.0	2.0 - 1.95	68%	60%	0,3,2,5,0,0,1,1,2,2	-140	'+105
David Singleton	G	-2100	H	UCLA	UNCA	ast	0.5	1.1	1.07 - 1.0	0.77 - 1.24	65%	80%	1,1,2,1,0,0,0,1,0,2	-235	'+170
David Singleton	G	-2100	H	UCLA	UNCA	reb	2.5	2.7	2.62 - 3.0	2.38 - 2.86	44%	0%	1,2,2,0,1,2,3,1,2,3	'+110	-145
David Singleton	G	-2100	H	UCLA	UNCA	pts	9.5	9.1	9.41 - 7.4	9.54 - 8.86	38%	40%	0,12,6,17,8,0,3,5,8,9	'+105	-140
Davonte Davis	G	-130	H	ARK	ILL	ast	1.5	2.7	3.0 - 2.15	2.62 - 2.68	78%	40%	1,3,0,2,0,3,1,3,2,7	-175	'+130
Davonte Davis	G	-130	H	ARK	ILL	pts	10.5	10.5	9.21 - 12.46	12.38 - 9.26	47%	40%	5,7,8,13,21,4,0,14,7,15	-120	-110
