Player	Prop	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
	rush_td	2.9	-	-	-	-	-	-	2.9	-
	rec	31.8	-	-	-	-	-	-	31.8	-
	rec_yd	213.1	-	-	-	-	-	-	213.1	-
	rec_td	0.8	-	-	-	-	-	-	0.8	-

Bucky Irving
82.94 FPTS	rush_att	116.2	-	-	-	-	-	-	116.2	-
17.04 ADP	rush_yd	436.6	-	-	-	-	-	-	436.6	-
	rush_td	2.8	-	-	-	-	-	-	2.8	-
	rec	21.0	-	-	-	-	-	-	21.0	-
	rec_yd	164.8	-	-	-	-	-	-	164.8	-
	rec_td	1.0	-	-	-	-	-	-	1.0	-

Marshawn Lloyd
78.6 FPTS	rush_att	99.7	-	-	-	-	-	-	99.7	-
14.08 ADP	rush_yd	414.5	-	-	-	-	-	-	414.5	-
	rush_td	3.1	-	-	-	-	-	-	3.1	-
	rec	16.9	-	-	-	-	-	-	16.9	-
	rec_yd	131.5	-	-	-	-	-	-	131.5	-
	rec_td	0.9	-	-	-	-	-	-	0.9	-

Jordan Mason
78.0 FPTS	rush_att	100.3	-	-	-	-	-	-	100.3	-
18.11 ADP	rush_yd	442.0	-	-	-	-	-	-	442.0	-
	rush_td	3.8	-	-	-	-	-	-	3.8	-
	rec	10.1	-	-	-	-	-	-	10.1	-
	rec_yd	74.0	-	-	-	-	-	-	74.0	-
	rec_td	0.6	-	-	-	-	-	-	0.6	-

Ray Davis
75.52 FPTS	rush_att	86.4	-	-	-	-	-	-	86.4	-
17.02 ADP	rush_yd	390.5	-	-	-	-	-	-	390.5	-
	rush_td	2.9	-	-	-	-	-	-	2.9	-
	rec	16.7	-	-	-	-	-	-	16.7	-
	rec_yd	136.7	-	-	-	-	-	-	136.7	-
	rec_td	0.9	-	-	-	-	-	-	0.9	-

Alexander Mattison
73.88 FPTS	rush_att	113.7	-	-	-	-	-	-	113.7	-
19.11 ADP	rush_yd	425.0	-	-	-	-	-	-	425.0	-
	rush_td	2.6	-	-	-	-	-	-	2.6	-
	rec	14.5	-	-	-	-	-	-	14.5	-
	rec_yd	97.8	-	-	-	-	-	-	97.8	-
	rec_td	1.0	-	-	-	-	-	-	1.0	-

Jamaal Williams
72.06 FPTS	rush_att	114.7	-	-	-	-	-	-	114.7	-
21.05 ADP	rush_yd	420.4	-	-	-	-	-	-	420.4	-
	rush_td	3.0	-	-	-	-	-	-	3.0	-
	rec	17.9	-	-	-	-	-	-	17.9	-
